Title,Authors,Affiliations,Abstract,Keywords,PDF Link,Year,Match Score,Text_clean
Oriented Bounding Box Computation Using Particle Swarm Optimization *,"Pierre Borckmans, P.-A Absil",1 - Department of Mathematical Engineering Université catholique de Louvain B-1348 Louvain-la-Neuve Belgium (,"The problem of finding the optimal oriented bounding box (OBB) for a given set of points in R 3 , yet simple to state, is computationally challenging. Existing state-of-the-art methods dealing with this problem are either exact but slow, or fast but very approximative and unreliable. We propose a method based on Particle Swarm Optimization (PSO) to approximate solutions both effectively and accurately. The original PSO algorithm is modified so as to search for optimal solutions over the rotation group SO(3). Particles are defined as 3D rotation matrices and operations are expressed over SO(3) using matrix products, exponentials and logarithms. The symmetry of the problem is also exploited. Numerical experiments show that the proposed algorithm outperforms existing methods, often by far. * This paper presents research results of the Belgian Network DYSCO (Dynamical Systems, Control, and Optimization, funded by the Interuniversity Attraction Poles Programme, initiated by the Belgian State, Science Policy Office). The scientific responsibility rests with its authors. This work is supported by a FRIA (Fonds pour la formation à la Recherche dans l'Industrie et dans l'Agriculture) fellowship and by ""Communauté française de Belgique -Actions de Recherche Concertées"".",Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-117.pdf,2010,98.52941176470588,"Oriented Bounding Box Computation Using Particle Swarm Optimization * The problem of finding the optimal oriented bounding box (OBB) for a given set of points in R 3 , yet simple to state, is computationally challenging. Existing state-of-the-art methods dealing with this problem are either exact but slow, or fast but very approximative and unreliable. We propose a method based on Particle Swarm Optimization (PSO) to approximate solutions both effectively and accurately. The original PSO algorithm is modified so as to search for optimal solutions over the rotation group SO(3). Particles are defined as 3D rotation matrices and operations are expressed over SO(3) using matrix products, exponentials and logarithms. The symmetry of the problem is also exploited. Numerical experiments show that the proposed algorithm outperforms existing methods, often by far. * This paper presents research results of the Belgian Network DYSCO (Dynamical Systems, Control, and Optimization, funded by the Interuniversity Attraction Poles Programme, initiated by the Belgian State, Science Policy Office). The scientific responsibility rests with its authors. This work is supported by a FRIA (Fonds pour la formation à la Recherche dans l'Industrie et dans l'Agriculture) fellowship and by ""Communauté française de Belgique -Actions de Recherche Concertées""."
Learning how to grasp objects,"Annalisa Barla, Luca Baldassarre, Nicoletta Noceti, Francesca Odone",1 - DIFI Università degli Studi di Genova via Dodecaneso 35 Genova Italy,"This paper deals with the problem of estimating an appropriate hand posture to grasp an object, from 2D object's visual cues in a many-to-many (objects,grasp) configuration. A statistical learning protocol implementing vector-valued regression is adopted for both classifying the most likely grasp type and estimating the hand posture. An extensive experimental evaluation on a publicly available dataset of visuo-motor data reports very promising results and encourages further investigations.",Physiology and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-118.pdf,2010,100.0,"Learning how to grasp objects This paper deals with the problem of estimating an appropriate hand posture to grasp an object, from 2D object's visual cues in a many-to-many (objects,grasp) configuration. A statistical learning protocol implementing vector-valued regression is adopted for both classifying the most likely grasp type and estimating the hand posture. An extensive experimental evaluation on a publicly available dataset of visuo-motor data reports very promising results and encourages further investigations."
Asymptotic properties of mixture-of-experts models,"M Olteanu, J Rynkiewicz","1 - Universite Paris 1
2 - SAMOS-CES 90 Rue de Tolbiac 75013 Paris France","The statistical properties of the likelihood ratio test statistic (LRTS) for mixture-of-expert models are addressed in this paper. This question is essential when estimating the number of experts in the model. Our purpose is to extend the existing results for mixtures  (Liu and Shao, 2003)  and mixtures of multilayer perceptrons  (Olteanu and Rynkiewicz, 2008) . In this paper we study a simple example which embodies all the difficulties arising in such models. We find that in some cases the LRTS diverges but, with additional assumptions, the behavior of such models can be totally explicated.",Mixture and generative models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-120.pdf,2010,100.0,"Asymptotic properties of mixture-of-experts models The statistical properties of the likelihood ratio test statistic (LRTS) for mixture-of-expert models are addressed in this paper. This question is essential when estimating the number of experts in the model. Our purpose is to extend the existing results for mixtures  (Liu and Shao, 2003)  and mixtures of multilayer perceptrons  (Olteanu and Rynkiewicz, 2008) . In this paper we study a simple example which embodies all the difficulties arising in such models. We find that in some cases the LRTS diverges but, with additional assumptions, the behavior of such models can be totally explicated."
An Augmented Efficient Backpropagation Training Strategy for Deep Autoassociative Neural Networks,"Mark Embrechts, Blake Hargis, Jonathan Linton","1 - Department of Decision Sciences and Engineering Systems Rensselaer Polytechnic Institute Troy New York USA
3 - University of Ottawa Telfer School of Management","We introduce Augmented Efficient BackProp, a strategy for applying the backpropagation algorithm to deep autoencoders, i.e. autoassociators with many hidden layers, without relying on a weight initialization using restricted Boltzmann machines (RBMs). This training method, benchmarked on three different types of application datasets, is an extension of Efficient BackProp, first proposed by LeCun et al. [12].",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-122.pdf,2010,86.5979381443299,"An Augmented Efficient Backpropagation Training Strategy for Deep Autoassociative Neural Networks We introduce Augmented Efficient BackProp, a strategy for applying the backpropagation algorithm to deep autoencoders, i.e. autoassociators with many hidden layers, without relying on a weight initialization using restricted Boltzmann machines (RBMs). This training method, benchmarked on three different types of application datasets, is an extension of Efficient BackProp, first proposed by LeCun et al. [12]."
Extending FSNPC to handle data points with fuzzy class assignments,"Tina Geweniger, Thomas Villmann","1 - University of Leipzig -Working Group Computational Intelligence Semmelweisstrasse 10 04103 Leipzig Germany
2 - Department of Mathematics/Physics/Informatics University of Applied Sciences Mittweida Computational Intelligence Group Technikumplatz 17 09648 Mittweida Germany",In this paper we present an advanced Nearest Prototype Classification to handle data points with unsharp class assignments. Therefore we extend the Soft Nearest Prototype Classification as proposed by Seo et al. and its further enhancement working with fuzzy labeled prototypes as introduced by Villmann et al. We adapt the cost function and derive appropriate update rules for the prototypes. We assess the performance on a toy data set and a real-world problem and compare the classification result with the results obtained by Fuzzy Robust Soft LVQ by means of Fuzzy Cohen's Kappa.,Unsupervised learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-123.pdf,2010,100.0,Extending FSNPC to handle data points with fuzzy class assignments In this paper we present an advanced Nearest Prototype Classification to handle data points with unsharp class assignments. Therefore we extend the Soft Nearest Prototype Classification as proposed by Seo et al. and its further enhancement working with fuzzy labeled prototypes as introduced by Villmann et al. We adapt the cost function and derive appropriate update rules for the prototypes. We assess the performance on a toy data set and a real-world problem and compare the classification result with the results obtained by Fuzzy Robust Soft LVQ by means of Fuzzy Cohen's Kappa.
Exploiting Local Structure in Stacked Boltzmann Machines,"Hannes Schulz, Andreas Müller, Sven Behnke",1 - Autonomous Intelligent Systems Group Römerstraße 164 University of Bonn -Computer Science VI 53117 Bonn Germany,"Restricted Boltzmann Machines (RBM) are well-studied generative models. For image data, however, standard RBMs are suboptimal, since they do not exploit the local nature of image statistics. We modify RBMs to focus on local structure by restricting visible-hidden interactions. We model long-range interactions using direct or indirect lateral interaction between hidden variables. While learning in our model is much faster, it retains generative and discriminative properties of RBMs of similar complexity.",Mixture and generative models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-126.pdf,2010,87.5,"Exploiting Local Structure in Stacked Boltzmann Machines Restricted Boltzmann Machines (RBM) are well-studied generative models. For image data, however, standard RBMs are suboptimal, since they do not exploit the local nature of image statistics. We modify RBMs to focus on local structure by restricting visible-hidden interactions. We model long-range interactions using direct or indirect lateral interaction between hidden variables. While learning in our model is much faster, it retains generative and discriminative properties of RBMs of similar complexity."
Principal Curve Tracing,"Erhan Bas, Deniz Erdogmus",1 - ECE Department Cognitive Systems Laboratory Northeastern University 02115 Boston MA USA,We propose a principal curve tracing algorithm that uses the gradient and the Hessian of a given density estimate. Curve definition requires the local smoothness of data density and is based on the concept of subspace local maxima. Tracing of the curve is handled through the leading eigenvector where fixed-step updates are used. We also propose an image segmentation algorithm based on the original idea and show the effectiveness of the proposed algorithm on a Brainbow dataset.,Image and video analysis,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-127.pdf,2010,69.56521739130434,Principal Curve Tracing We propose a principal curve tracing algorithm that uses the gradient and the Hessian of a given density estimate. Curve definition requires the local smoothness of data density and is based on the concept of subspace local maxima. Tracing of the curve is handled through the leading eigenvector where fixed-step updates are used. We also propose an image segmentation algorithm based on the original idea and show the effectiveness of the proposed algorithm on a Brainbow dataset.
Image Registration by the Extended Evolutionary Self-Organizing Map,"José Everardo, B Maia, Guilherme Barreto, André Coelho","1 - Department of Statistics Computing State University of Ceará (UECE) Fortaleza, Ceará Brazil
2 - Department of Teleinformatics Engineering Federal University of Ceará (UFC) Fortaleza, Ceará Brazil
3 - Graduate Program in Applied Informatics University of Fortaleza (Unifor) Fortaleza, Ceará Brazil","The Evolutionary Self-Organizing Map (EvSOM) is a recently proposed robust approach for topographic map formation that is based on evolutionary algorithms. In this work, a variant of EvSOM is proposed in order to fully exploit the neighborhood preservation property of the topographic maps induced by it when dealing with the image registration (IR) problem. In particular, the novel EvSOM is adopted here with the assumption that the relationship between the reference image and the free image can be approximated by an affine transformation. Preliminary experiments with black & white retinal blood vessel images are discussed, comparing the performance of EvSOM with that of two well-known IR methods, namely, iterative closest point and template matching. Overall, the results confirm the potentials of the extended EvSOM in this new application scenario.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-128.pdf,2010,79.10447761194031,"Image Registration by the Extended Evolutionary Self-Organizing Map The Evolutionary Self-Organizing Map (EvSOM) is a recently proposed robust approach for topographic map formation that is based on evolutionary algorithms. In this work, a variant of EvSOM is proposed in order to fully exploit the neighborhood preservation property of the topographic maps induced by it when dealing with the image registration (IR) problem. In particular, the novel EvSOM is adopted here with the assumption that the relationship between the reference image and the free image can be approximated by an affine transformation. Preliminary experiments with black & white retinal blood vessel images are discussed, comparing the performance of EvSOM with that of two well-known IR methods, namely, iterative closest point and template matching. Overall, the results confirm the potentials of the extended EvSOM in this new application scenario."
Identifying informative features for ERP speller systems based on RSVP paradigm,"Tian Lan, Deniz Erdogmus, Lois Black, Jan Santen","1 - Oregon Health & Science University -Dept of Science and Engineering Beaverton Oregon USA
2 - Dept of Electrical and Computer Engineering Boston Northeastern University Massachusetts USA",This preliminary study focused on identifying informative features in the frequency and spatial domains for single-trial Event Related Potential (ERP) detection for ERP spelling systems. A predefined sequence of letters was presented to subjects in a Rapid Serial Visual Presentation (RSVP) paradigm. EEG data were collected and analyzed offline. A Linear Discriminant Analysis (LDA) classifier was selected as ERP detector for its simplicity and robustness. A range of features in different frequency bands and EEG channel subsets was extracted and detection accuracies were compared for different classes of features.,Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-129.pdf,2010,100.0,Identifying informative features for ERP speller systems based on RSVP paradigm This preliminary study focused on identifying informative features in the frequency and spatial domains for single-trial Event Related Potential (ERP) detection for ERP spelling systems. A predefined sequence of letters was presented to subjects in a Rapid Serial Visual Presentation (RSVP) paradigm. EEG data were collected and analyzed offline. A Linear Discriminant Analysis (LDA) classifier was selected as ERP detector for its simplicity and robustness. A range of features in different frequency bands and EEG channel subsets was extracted and detection accuracies were compared for different classes of features.
Active Set Training of Support Vector Regressors,Shigeo Abe,1 - Kobe University -Graduate School of Engineering Kobe Japan,"In our previous work we have discussed the training method of a support vector classifier by active set training allowing the solution to be infeasible during training. In this paper, we extend this method to training a support vector regressor (SVR). We use the dual form of the SVR where variables take real values and in the objective function the weighted linear sum of absolute values of the variables is included. We allow the variables to change signs from one step to the next. This means changes of the active inequality constraints. Namely, we solve the quadratic programming problem for the initial working set of training data by Newton's method, delete from the working set the data within the epsilon tube, add to the working set training data outside of the epsilon tube, and repeat training the SVM until the working set does not change. We demonstrate the effectiveness of the proposed method using some benchmark data sets.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-13.pdf,2010,83.33333333333334,"Active Set Training of Support Vector Regressors In our previous work we have discussed the training method of a support vector classifier by active set training allowing the solution to be infeasible during training. In this paper, we extend this method to training a support vector regressor (SVR). We use the dual form of the SVR where variables take real values and in the objective function the weighted linear sum of absolute values of the variables is included. We allow the variables to change signs from one step to the next. This means changes of the active inequality constraints. Namely, we solve the quadratic programming problem for the initial working set of training data by Newton's method, delete from the working set the data within the epsilon tube, add to the working set training data outside of the epsilon tube, and repeat training the SVM until the working set does not change. We demonstrate the effectiveness of the proposed method using some benchmark data sets."
A Novel Two-Phase SOM Clustering Approach to Discover Visitor Interests in a Website,"Ahmad Ammari, Valentina Zharkova",1 - Informatics and Media {A.N.Ammari University of Bradford -School of Computing V.V.Zharkova} @Bradford.ac.uk -Bradford United Kingdom,"Mining content, structure and usage data in websites can uncover browsing patterns that different groups of Web visitors follow to access the subjects that are truly valuable to them. Many works in the literature focused on proposing new similarity measures to cluster Web logs and detect segments of browsing behaviors. However, this does not reveal which contents the visitors are interested in since a Web page may contain many different topics. In this paper, a novel two-phase clustering approach based on Self Organizing Maps (SOM) is proposed to address this problem. A systematic process to prepare Web content data for clustering is also described.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-132.pdf,2010,100.0,"A Novel Two-Phase SOM Clustering Approach to Discover Visitor Interests in a Website Mining content, structure and usage data in websites can uncover browsing patterns that different groups of Web visitors follow to access the subjects that are truly valuable to them. Many works in the literature focused on proposing new similarity measures to cluster Web logs and detect segments of browsing behaviors. However, this does not reveal which contents the visitors are interested in since a Web page may contain many different topics. In this paper, a novel two-phase clustering approach based on Self Organizing Maps (SOM) is proposed to address this problem. A systematic process to prepare Web content data for clustering is also described."
Solving Large Regression Problems using an Ensemble of GPU-accelerated ELMs,"Mark Van Heeswijk, Yoan Miche, Erkki Oja, Amaury Lendasse","1 - Dept. of Information and Computer Science Helsinki University of Technology Konemiehentie 2 02015 HUT Finland
2 - Lab Institut National Polytechnique de Grenoble -Gipsa 961 rue de la Houille Blanche F-38402 Grenoble Cedex France","This paper presents an approach that allows for performing regression on large data sets in reasonable time. The main component of the approach consists in speeding up the slowest operation of the used algorithm by running it on the Graphics Processing Unit (GPU) of the video card, instead of the processor (CPU). The experiments show a speedup of an order of magnitude by using the GPU, and competitive performance on the regression task. Furthermore, the presented approach lends itself for further parallelization, that has still to be investigated.",Machine learning techniques based on random projections,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-133.pdf,2010,100.0,"Solving Large Regression Problems using an Ensemble of GPU-accelerated ELMs This paper presents an approach that allows for performing regression on large data sets in reasonable time. The main component of the approach consists in speeding up the slowest operation of the used algorithm by running it on the Graphics Processing Unit (GPU) of the video card, instead of the processor (CPU). The experiments show a speedup of an order of magnitude by using the GPU, and competitive performance on the regression task. Furthermore, the presented approach lends itself for further parallelization, that has still to be investigated."
Predicting spike-timing of a thalamic neuron using a stochastic synaptic model,"Karim El-Laithy, Martin Bogdan",1 - Faculty of Computer science and Mathematics Dept of Computer Engineering Johannisgasse 26 04103 Leipzig Germany,"A twofold spike-timing dependent stochastic synaptic model is used along with a leaky Integrate-and-Fire neuronal model to predict the spike timing of a single post-synaptic neuron in the lateral geniculate nucleus, knowing the spike train on the pre-synaptic side (i.e. in a retinal ganglion cell). In this synaptic model, spike-timing dependency is introduced for both the magnitude and relaxation of the dynamics representing the synaptic action. The results show that the used model is able to reliably predict the exact timing of spikes. These results and the model are the winner of a recent international competition.",Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-14.pdf,2010,100.0,"Predicting spike-timing of a thalamic neuron using a stochastic synaptic model A twofold spike-timing dependent stochastic synaptic model is used along with a leaky Integrate-and-Fire neuronal model to predict the spike timing of a single post-synaptic neuron in the lateral geniculate nucleus, knowing the spike train on the pre-synaptic side (i.e. in a retinal ganglion cell). In this synaptic model, spike-timing dependency is introduced for both the magnitude and relaxation of the dynamics representing the synaptic action. The results show that the used model is able to reliably predict the exact timing of spikes. These results and the model are the winner of a recent international competition."
