Filename,Title,Authors,Affiliations,Abstract,Year
es2005-116.pdf,Non-Euclidean metrics for similarity search in noisy datasets,"D Francois, V Wertz, M Verleysen","1 - Université catholique de Louvain -Machine Learning Group 1-CESAME, Avenue George Lemaître, 4 2-DICE, Place du Levant 3 B-1348 Louvain-la-Neuve BELGIUM","In the context of classification, the dissimilarity between data elements is often measured by a metric defined on the data space. Often, the choice of the metric is often disregarded and the Euclidean distance is used without further inquiries. This paper illustrates the fact that when other noise schemes than the white Gaussian noise are encountered, it can be interesting to use alternative metrics for similarity search.",2005
es2005-117.pdf,Organization properties of open networks of cooperative neuro-agents,"J Mano, P Glize",1 - Institut de Recherche en Informatique deToulouse Université Paul Sabatier 118 route de Narbonne 31062 Toulouse cedex France,"Our researches on adaptive systems are inspired by their ability of building by themselves a representation of their surrounding world. Using cooperation as a local criterion of self-organization, we study in a network of neuro-agents the evolution of the system and in the same way, the emergence of a functioning coherent with the environmental feed-back. In this paper we expose the abilities of the neuro-agents that give them the autonomy required to build an ab nihilo topology. And finally we want to emphasize the dynamic of the network organization that is basically its best property of adaptation to a changing environment.",2005
es2005-118.pdf,New evidences for sparse coding strategy employed in visual neurons: from the image processing and nonlinear approximation viewpoint,"Tan Shan, Licheng Jiao",1 - Institute of Intelligent Information Processing Xidian University 710071 Xi'an China,"Sparse coding' is a ubiquitous strategy employed in the sensory information processing system of mammals. Some work has focused on the validation of this strategy through finding the sparse component of sensory input， and then illustrating a fact that the resulting basis functions or corresponding filter response have the visually similar receptive field to those found in primary visual cortex (V1). In this review, we show that several newly proposed systems in the area of image processing and nonlinear approximation provide new evidences for the 'sparse coding' strategy along a contrary line. Inspired by the property of receptive field of neuron in V1, the bases functions of these systems are constructed with special structures, namely, band-pass, being localized and multiorientation. Interestingly, these systems can sparsely represent the special classes of images dominated with edges.",2005
es2005-12.pdf,Adaptive Simultaneous Perturbation Based Pruning Algorithm for Neural Control Systems,"Jie Ni, Qing Song",1 - School of Electrical and Electronic Engineering Nanyang Technological University Nanyang Avenue 639798 Singapore,"It is normally difficult to determine the optimal size of neural networks, particularly, in the sequential training applications such as online control. In this paper, a novel training and pruning algorithm, Adaptive Simultaneous Perturbation Based Pruning Algorithm (ASPBP), is proposed for the online tuning and pruning the neural tracking control system. The conic sector theory is introduced in the design of this robust neural control system, which aims at providing guaranteed boundedness for both the input-output signals and the weights of the neural network.",2005
es2005-120.pdf,Graph projection techniques for Self-Organizing Maps,"Georg Pölzlbauer, Andreas Rauber, Michael Dittenbach","1 - Department of Software Technology Vienna University of Technology Favoritenstr. 9 -11 / 188 A-1040 Wien Austria
3 - 2-eCommerce Competence Center -ec3 Donau-City-Str. 1 A-1220 Wien Austria","The Self-Organizing Map is a popular neural network model for data analysis, for which a wide variety of visualization techniques exists. We present two novel techniques that take the density of the data into account. Our methods define graphs resulting from nearest neighbor-and radius-based distance calculations in data space and show projections of these graph structures on the map. It can then be observed how relations between the data are preserved by the projection, yielding interesting insights into the topology of the mapping, and helping to identify outliers as well as dense regions.",2005
es2005-121.pdf,Support Vector Machine For Functional Data Classification,"Nathalie Villa, Fabrice Rossi","1 - Université Toulouse Le Mirail -Equipe GRIMM 5 allées A. Machado 31058 Toulouse cedex 1 FRANCE
2 - Domaine de Voluceau Projet AxIS INRIA B.P. 105 78153 Rocquencourt, Le Chesnay Cedex FRANCE","Functional data analysis is a growing research field and numerous works present a generalization of the classical statistical methods to function classification or regression. In this paper, we focus on the problem of using Support Vector Machines (SVMs) for curve discrimination. We recall that important theoretical results for SVMs apply in functional space and propose simple functional kernels that take advantage of the nature of the data. Those kernels are illustrated on a spectrometric real world benchmark.",2005
es2005-122.pdf,"Exponential Stability of Implicit Euler, Discrete-Time Hopfield Neural Networks",Francisco Villatoro,"1 - E.T.S.I Industriales -Dept of Lenguajes y Ciencias de la Computación Universidad de Málaga Campus El Ejido, s/n -29013 Málaga Spain
2 - Dirección Gen-eral de Investigación de Ciencia y Tecnología Ministerio Spain","The exponential stability of continuous-time Hopfield neural networks is not preserved when implemented on digital computers by means of explicit numerical methods, whereas the implicit (or backward) Euler method preserves this exponential stability under exactly the same sufficient conditions as those previously obtained for the continuous model. The proof is based on the nonlinear measure approach, here extended to discrete-time systems. This approach also allows the estimation of the exponential convergence rate of the discrete solutions.",2005
es2005-123.pdf,Applications of Multi-objective Structure Optimization,"Alexander Gepperth, Stefan Roth",1 - Institut für Neuroinformatik Ruhr-Universität Bochum Universitätsstraße 150 44780 Bochum Germany,"We present an application of multi-objective evolutionary optimization of feed-forward neural networks (NN) to two real world problems, car and face classification. The possibly conflicting requirements on the NN are speed and classification accuracy, both of which can enhance the embedding systems as a whole. We compare the results to the outcome of a greedy optimization heuristic (magnitude-based pruning) coupled with a multi-objective performance evaluation. For the car classification problem, magnitude-based pruning yields competitive results, whereas for the more difficult face classification, we find that the evolutionary approach to NN design is clearly preferable * email: {Alexander.Gepperth, Stefan.Roth}@neuroinformatik.rub.de. Stefan Roth is formerly mentioned in publications under his birth name Stefan Wiegand.",2005
es2005-124.pdf,A Neural Network that helps building a Nonlinear Dynamical model of a Power Amplifier,"Georgina Stegmayer, Omar Chiotti, Giancarlo Orengo","1 - Politecnico di Torino -Dept. Electronics Cso Duca degli Abruzzi 24 Torino Italy
2 - Universidad Tecnológica Nacional -GIDSATD Lavaise 610 Santa Fe -Argentina
3 - Universita di Roma II -Dept. Electronics Engineering via Politecnico 1 Rome Italy","This paper presents a new neural network-based model that can be applied to characterize the nonlinear dynamical behavior of power amplifiers. We use a time-delayed feed-forward neural network to make an input-output timedomain characterization, that can provide also an analytical expression (as a Volterra Series model) to predict the amplifier response to multiple power levels. Simulation results that validate our proposal are presented.",2005
es2005-126.pdf,SVM and Pattern-Enriched Common Fate Graphs for the Game of Go,"Liva Ralaivola, Lin Wu, Pierre Baldi","1 - Centre de Mathématique et Informatique Laboratoire d'Informatique Fondamentale 39 rue F. Joliot Curie F-13453 Marseille cedex 13 France
2 - School of Information and Computer Science Institute for Genomics and Bioinformatics University of California Irvine 92697-3425 Irvine CA USA",We propose a pattern-based approach combined with the concept of Enriched Common Fate Graph for the problem of classifying Go positions. A kernel function for weighted graphs to compute the similarity between two board positions is proposed and used to learn a support vector machine and address the problem of position evaluation. Numerical simulations are carried out using a set of human played games and show the relevance of our approach.,2005
es2005-127.pdf,Contextual priming for artificial visual perception,"Hervé Guillaume, Nathalie Denquive, Philippe Tarroux","1 - LIMSI-CNRS BP 133 F-91403 Orsay cedex France
4 - ENS 45 rue d' F-75230 Ulm, Paris cedex 05 France","The construction of robotics autonomous systems able to identify objects in their environments requires the elaboration of efficient visual object recognition algorithms. Our knowledge of the mechanisms of natural perception suggests that, when the recognition process fails due to the degradation of the observation conditions and to the blurring of the intrinsic attributes of the objects, the information concerning the context is used by human for object recognition priming. In this case the indices used for object identification can be greatly simplified. We present in this paper an attempt to precise how such a principle can be applied to autonomous robotics. We show that using a compact frequency coding of the scene together with an unsupervised SOM learning we obtain syntactic categories that exhibit specific relationships with object categories. Thus, the construction of these syntactic categories should be useful for estimating the occurrence probability of object categories during the exploration of the perceptual space of a robotic system.",2005
es2005-129.pdf,Efficient Estimation of Multidimensional Regression Model with Multilayer Perceptron,Joseph Rynkiewicz,1 - Université Paris I -SAMOS/MATISSE 72 rue Regnault Paris France,"This work concerns estimation of multidimensional nonlinear regression models using multilayer perceptron (MLP). The main problem with such model is that we have to know the covariance matrix of the noise to get optimal estimator. however we show that, if we choose as cost function the logarithm of the determinant of the empirical error covariance matrix, we get an asymptotically optimal estimator.",2005
es2005-130.pdf,Learning to Classify a Collection of Images and Texts,"P Saragiotis, B Vrusias, K Ahmad",1 - Department of Computing University of Surrey GU2 7XH Guildford Surrey UK,"A single net system based on Kohonen's Feature map was trained using a combined vector that contains visual features of an image and its collateral keywords. The performance of the single net was compared with a multinet system, comprising two SOMs, one trained with visual features and the other on keywords, in the presence of a Hebbian network that learns to associate visual features with keywords. The multi-net system performs better than the single net. Similar results were obtained when Grossberg's ART networks were used instead of SOMs.",2005
es2005-131.pdf,A probabilistic framework for mismatch and profile string kernels,"Alexei Vinokourov, Andrei Soklakov, Craig Saunders","1 - School of Electronics and Computer Science Southampton University of Southampton SO17 1BJ Hants UK
2 - Department of Mathematics Egham Royal Holloway University of London TW20 0EX Surrey UK","There has recently been numerous applications of kernel methods in the field of bioinformatics. In particular, the problem of protein homology has served as a benchmark for the performance of many new kernels which operate directly on strings (such as amino-acid sequences). Several new kernels have been developed and successfully applied to this type of data, including spectrum, string, mismatch, and profile kernels. In this paper we introduce a general probabilistic framework for string kernels which uses the fisher-kernel approach and includes spectrum, mismatch and profile kernels, among others, as special cases. The use of a probabilistic model however provides additional flexibility both in definition and for the re-weighting of features through feature selection methods, prior knowledge or semi-supervised approaches which use data repositories such as BLAST. We give details of the framework and also give preliminary experimental results which show the applicability of the technique. * The first and third author thank the EPSRC for their support through grant no GR/S22301/01 (""Development and Application of String-Type Kernels"")",2005
es2005-132.pdf,Evolutionary Framework for the Construction of Diverse Hybrid Ensembles,"Arjun Chandra, Xin Yao",1 - School of Computer Science The Centre of Excellence for Research in Computational Intelligence and Applications (CERCIA) The University of Birmingham Edgbaston B15 2TT Birmingham UK,Enforcing diversity explicitly in ensembles while at the same time making individual predictors accurate as well has been shown to be promising. This idea was recently taken into account in the algorithm DIVACE. There have been a multitude of theories on how one can enforce diversity within a combined predictor setup. This paper aims to bring these theories together in an attempt to synthesise a framework that can be used to engender new evolutionary ensemble learning algorithms. The framework treats diversity and accuracy as evolutionary pressures that can be exerted at multiple levels of abstraction and is shown to be effective.,2005
es2005-134.pdf,Automatic classification of prostate cancer using pseudo-gaussian radial basis function neural network,"O Valenzuela, I Rojas, F Rojas, L Marquez","1 - Department of Applied Mathematic
2 - Department of Computer Architecture and Computer Technology University of Granada Spain","Recent advances in multimedia and image processing techniques can be utilized to assist pathologists in this respect. In fact, many investigators believe that automation of prostate cancer analysis increases the rate of early detection. In this paper, we will propose an automatic procedure for prostate cancer light micrograph based on soft-computing technique, for image interpretation, with increased accuracy. We propose a feature subset selection algorithm that selects the most important features, used by a pseudo-gaussian radial basis function neural networks to classify the prostate cancer light micrograph. A high classification rate has been achieved which will reduce the subjective human invention and will increase the diagnostic speed.",2005
es2005-135.pdf,Self-Organizing Maps Computing on Graphic Process Unit,"Luo Zhongwen, Liu Hongzhi, Yang Zhengping, Wu Xincai",1 - Faculty of Information Engineering China University of Geoscience(Wuhan) 430074 Wuhan China,"Self-Organizing Maps (SOM) is a widely used artificial neural network (ANN) model. Because of its heavy computation load when the map is big and inherent parallel, there is a need to apply a parallel algorithm on it. As a SIMD parallel processor, Graphic processing unit (GPU) shows a fast growing speed than CPU. And it also provides programmability recently. In this paper, the algorithm and result of SOM computing on GPU has been given. The result shows that GPU can make SOM computing much faster than standard CPU. Some design tricks for improving the efficiency of computing has discussed. Based on the results and current trends in the development of GPU, it is reasonable to expect that graphic hardware will widely used in other ANN computing for getting high-performance.",2005
es2005-137.pdf,Novel Algorithm for Eliminating Folding Effect in Standard SOM,"Kirmene Marzouki, Takeshi Yamakawa","1 - School of Computer Science and Systems Engineering Department of Control and Systems Engineering Kyushu Institute of Technology 680-4, 820-8502 Kawazu, Iizuka City, Fukuoka JAPAN
2 - Graduate School of Life Science and Systems Engineering Department of Brain Science and Engineering Kyushu Institute of Technology 2-4 Hibikino, Wakamatsu-ku 808-0196 Kitakyushu City, Fukuoka JAPAN","Self-organizing maps, SOMs, are a data visualization technique developed to reduce the dimensions of data through the use of self-organizing neural networks. However, as the original input manifold can be complicated with an inherent dimension larger than that of the feature map, the dimension reduction in SOM can be too drastic, generating a folded feature map. In order to eliminate this phenomenon, we extend the neighborhood concept to a new set of sub-neighbors, other than those introduced by Kohonen. The modified algorithm was applied to color classification and performed very well in comparison with the traditional SOM.",2005
es2005-138.pdf,Usage Guided Clustering of Web Pages with the Median Self Organizing Map,"Fabrice Rossi, Aïcha Golli, Yves Lechevallier","1 - Projet AxIS INRIA Rocquencourt Domaine de Voluceau B.P. 105 78153 LE Rocquencourt, CHESNAY CEDEX FRANCE","Web Usage Mining aims at improving Web sites thanks to the analysis of the behavior of their users. This paper proposes to cluster web pages of a web site thanks to usage data. In big web sites, clustering individual pages is not possible, therefore the proposed method is based on a prior clustering of pages that uses semantic information about the site, such as its organization on the server. Then usage based dissimilarities between prior clusters is defined and an adaptation of the Self Organization Map to such data is used to provide visualization and clustering of groups of pages of the site. The method is illustrated on the web site of INRIA.",2005
es2005-139.pdf,,,,,2005
es2005-141.pdf,Radar target recognition using SVMs with a wrapper feature selection driven by Immune Clonal Algorithm,"Xiangrong Zhang, Shuang Wang, Tan Shan",1 - Institute of Intelligent Information Processing National Key Lab for Radar Signal Processing Xidian University 710071 Xi'an China,"A wrapper feature selection method based on Immune Clonal Algorithm for SVM is presented and applied to 1-D images recognition of radar targets in this paper. In the proposed method, the cross-validation is used for feature evaluation in wrapper feature selection step for SVMs. And Immune Clonal Algorithm, which is characterized by rapid convergence to global optimal solution, is applied to find the optimal feature subset. Experimental results on 1-D images of 3 airplanes obtained in a microwave anechoic chamber show the effectiveness of the proposed method.",2005
es2005-142.pdf,,,,,2005
es2005-143.pdf,Generative Independent Component Analysis for EEG Classification,"Silvia Chiappa, David Barber",1 - IDIAP Research Institute Switzerland,"We present an application of Independent Component Analysis (ICA) to the discrimination of mental tasks for EEG-based Brain Computer Interface systems. ICA is most commonly used with EEG for artifact identification with little work on the use of ICA for direct discrimination of different types of EEG signals. By viewing ICA as a generative model, we can use Bayes' rule to form a classifier. This enables us also to investigate whether simple spatial information is sufficiently informative to produce state-of-the-art results when compared to more traditional methods based on using temporal features as inputs to off-the-shelf classifiers. Experiments conducted on two subjects suggest that knowing 'where' activity is happening alone gives encouraging results.",2005
es2005-145.pdf,UNSUPERVISED FUZZY ENSEMBLES AND THEIR USE IN INTRUSION DETECTION,"Paul Evangelista, Piero Bonissone, Mark Embrechts, Boleslaw Szymanski","1 - Department of Decision Sciences and Engineering Systems
2 - Rensselaer Polytechnic Institute","This paper proposes a novel method for unsupervised ensembles that specifically addresses unbalanced, unsupervised, binary classification problems. Unsupervised learning often experiences the curse of dimensionality, however subspace modeling can overcome this problem. For each subspace created, the classifier produces a decision value. The aggregation of the decision values occurs through the use of fuzzy logic, creating the fuzzy ROC curve. The one-class SVM is utilized for unsupervised classification. The primary source of data for this research is a host based computer intrusion detection dataset.",2005
es2005-146.pdf,Using CMU PIE Human Face Database to a Convolutional Neural Network -Neocognitron,"José Saito, Tiago Vieira De Carvalho, Marcelo Hirakuri, André Saunite, Alessandro Ide, Sandra Abib","1 - Federal University of São Carlos -Computer Science Department -GAPIS Rodovia Washington Luis Km 235 São Carlos -SP -Brazil
5 - Department of Informatics Systems and Telematics -Neurolab University of Genoa Via Opera Pia 13 -I-16145 -Genoa Italy","This work presents the application of Neocognitron to the human face recognition. Using a large-scale human face database (CMU PIE), the optimal thresholds of the Neocognitron to human face recognition are verified. During the first experiment, increasing the activation thresholds of the Neocognitron, their best values to be used in the second experiment, increasing the number of training images per subjects, are obtained. As a result it is verified that a number of 25 training images per subjects is enough to obtain very high recognition rate (98%) to the frontal pose images from the database. 350 validation images, non-overlapping with the training images, were used.",2005
es2005-147.pdf,Experimental validation of a synapse model by adding synaptic conductances to excitable endocrine cells in culture,"S Boussa, M Marin, F Lefoll, A Faure, F Leboulenger","1 - Université du Havre -GREAH UPREEA 3220 25, rue Philippe Lebon BP 1123 76063 Le Havre cedex France
2 - Université du Havre -LEMA UPRESEA BP 540 3222 25, 76058 Rue Philippe Lebon, Le Havre Cedex France","The purpose of the present work is to study and investigate the physiological behaviour of artificial synapses in excitable non-neural cells. We have supplied a numerical synapse model to a frog melanotrope cell by using either the current-clamp technique or a home-made easy-to-use application to achieve dynamic-clamp recordings in real time conditions. From results obtained with the conventional biophysical AMPA/NMDA model of glutamatergic neurotransmission, we have introduced changes in order to adapt the model to the electrophysiological responses of the recorded cell. Further developments are in progress to extend such hybrid connections to multi-component neural networks.",2005
es2005-148.pdf,A neural network approach of Ultrawideband Nearfield Adaptive Beamforming,"Min Wang, Shuyuan Yang, Shunjun Wu",1 - National Lab. of Radar Signal Processing XIDIAN University 710071 Xi'an China,An adaptive beamforming method for ultrawide-band (UWB) array in the case of nearfield is proposed based on the radical basis function neural network (RBFNN) in this paper. The desired outputs corresponding with measured inputs for the nearfield impulse source are reflected into a set of training samples. Genetic algorithm and recursive least square algorithm are employed to determine the structure and the parameters of RBFNN. It can avoid the computation of an inverse matrix and alleviate the impact of the mutual coupling phenomenon. The experimental results also prove its efficiency and feasibility.,2005
es2005-149.pdf,Kernel methods and the exponential family,"Stéphane Canu, Alex Smola","1 - -PSI -FRE CNRS 2645 INSA de Rouen St Etienne du Rouvray France, France","The success of Support Vector Machine (SVM) gave rise to the development of a new class of theoretically elegant learning machines which use a central concept of kernels and the associated reproducing kernel Hilbert space (r.k.h.s.). Exponential families, a standard tool in statistics, can be used to unify many existing machine learning algorithms based on kernels (such as SVM) and to invent novel ones quite effortlessly. In this paper we will discuss how exponential families, a standard tool in statistics, can be used with great success in machine learning to unify many existing algorithms and to invent novel ones quite effortlessly. A new derivation of the novelty detection algorithm based on the one class SVM is proposed to illustrates the power of the exponential family model in a r.k.h.s.",2005
es2005-15.pdf,Modified Backward Feature Selection by Cross Validation,Shigeo Abe,"1 - Graduate School of Science and Technology Kobe University Rokkodai Nada, Kobe Japan","Since training of a classifier takes time, usually some criterion other than the recognition rate is used for feature selection. This may, however, leads to deteriorating the generalization ability by feature selection. To overcome this problem, in this paper, we propose modified backward feature selection by cross validation. Initially, we determine the candidate set which consists of the features that do not deteriorate the generalization ability, if each is deleted from the initial set of features. If the generalization ability is not deteriorated even if all the candidate features are deleted, we terminate the algorithm. Otherwise, we delete by backward deletion the candidate feature that improves the generalization ability the most, and determine the candidate set that is a subset of the current candidate set. We iterate the above procedure until the candidate set is empty. We evaluate our method using support vector machines for some benchmark data sets and show that many features are deleted without deteriorating the generalization ability.",2005
es2005-150.pdf,Classification using non-standard metrics,"Barbara Hammer, Thomas Villmann","1 - Institute of Computer Science Clausthal University of Technology
2 - Clausthal-Zellerfeld Germany
3 - University of Leipzig -Clinic for Psychotherapy and Psychsomatic Medicine Leipzig Germany","A large variety of supervised or unsupervised learning algorithms is based on a metric or similarity measure of the patterns in input space. Often, the standard euclidean metric is not sufficient and much more efficient and powerful approximators can be constructed based on more complex similarity calculations such as kernels or learning metrics. This procedure is benefitial for data in euclidean space and it is crucial for more complex data structures such as occur in bioinformatics or natural language processing. In this article, we review similarity based methods and its combination with similarity measures which go beyond the standard Euclidian metric. Thereby, we focus on general unifying principles of learning using non-standard metrics and metric adaptation.",2005
es2005-151.pdf,Synergies between Evolutionary and Neural Computation,"Christian Igel, Bernhard Sendhoff","1 - Institut für Neuroinformatik Ruhr-Universität Bochum Germany
2 - Honda Research Institute Europe GmbH Germany","Evolutionary and neural computation share the same philosophy to use biological information processing for the solution of technical problems. Besides this important but rather abstract common foundation, there have also been many successful combinations of both methods for solving problems as applied as the design of turbomachinery components. In this paper, we will introduce evolutionary algorithms primarily for a ""neural"" audience and demonstrate their usefulness for neural computation. Furthermore, we will introduce a list of some more recent trends in combining evolutionary and neural computation, that will show that synergies between the two fields go beyond the typically quoted example of topology optimisation of neural networks. We strive to increase the awareness for these trends in the neural computation community and spark some interest in one or the other of the shown directions.",2005
es2005-152.pdf,Two or three things that we (intend to) know about Hopfield and Tank networks,"Miguel Atencia, Gonzalo Joya, Francisco Sandoval","1 - Universidad de Málaga -Dept. Matemática Aplicada Campus de Teatinos s/n. 29071-Málaga Spain
2 - Universidad de Málaga -Dept. Tecnología Electrónica Campus de Teatinos s/n. 29071-Málaga Spain","This work aims at reviewing some of the main issues that are under research in the field of Hopfield networks. In particular, the feasibility of the Hopfield network as a practical optimization method is addressed. Together with the current results, the main directions that deserve ongoing analysis are shown. Besides, some suggestions are provided in order to identify lines that are at an impasse point, where there is no evidence that further research will be fruitful, or topics that nowadays can just be considered as historically interesting.",2005
es2005-153.pdf,,,,,2005
es2005-156.pdf,,,,,2005
