cluster,keywords,representative_title,label,topics
25,"['deep convolutional', 'highresolution image', 'using convolutional', 'convolutional networks', 'using deep']",Fusion of Stereo Vision for Pedestrian Recognition using Convolutional Neural Networks,"deep convolutional, highresolution image, using convolutional, convolutional networks, using deep | Fusion of Stereo Vision for Pedestrian Recognition using Convolutional Neural Networks",Convolutional Neural Networks (Computer Vision)
26,"['showing deep', 'pruning deep', 'algorithms deep', 'fast deep', 'deep']",ADLER -An efficient Hessian-based strategy for adaptive learning rate,"showing deep, pruning deep, algorithms deep, fast deep, deep | ADLER -An efficient Hessian-based strategy for adaptive learning rate",Neural Network Pruning / Model Compression
27,"['multiple embedding', 'neighborhood embedding', 'linear embedding', 'dimensional embedding', 'neighbor embedding']",Can MDS rival with t-SNE by using the symmetric Kullback-Leibler divergence across neighborhoods as a pseudo-distance?,"multiple embedding, neighborhood embedding, linear embedding, dimensional embedding, neighbor embedding | Can MDS rival with t-SNE by using the symmetric Kullback-Leibler divergence across neighborhoods as a pseudo-distance?",Dimensionality Reduction / Embeddings
28,"['data visualization', 'data structure', 'graph theory', 'graph visualization', 'clustering graph']",Visualizing the quality of dimensionality reduction,"data visualization, data structure, graph theory, graph visualization, clustering graph | Visualizing the quality of dimensionality reduction",Graph Visualization & Clustering
29,"['multispectral images', 'hyperspectral multispectral', 'multispectral sensing', 'resolution hyperspectral', 'multispectral sensor']",Multispectral Texture Classification in Agriculture,"multispectral images, hyperspectral multispectral, multispectral sensing, resolution hyperspectral, multispectral sensor | Multispectral Texture Classification in Agriculture",Machine Learning for Hyperspectral Imaging
30,"['matrix completion', 'sparsity transformation', 'high dimensional', 'sparse clustering', 'spectral clustering']",Nonnegative matrix factorization with polynomial signals via hierarchical alternating least squares,"matrix completion, sparsity transformation, high dimensional, sparse clustering, spectral clustering | Nonnegative matrix factorization with polynomial signals via hierarchical alternating least squares",Sparse Modeling / Spectral Clustering
31,"['clustering graph', 'graph partitioning', 'structure similarity', 'sparse clustering', 'spectral clustering']",On the equivalence between regularized NMF and similarity-augmented graph partitioning,"clustering graph, graph partitioning, structure similarity, sparse clustering, spectral clustering | On the equivalence between regularized NMF and similarity-augmented graph partitioning",Graph Partitioning & Spectral Methods
32,"['large datasets', 'large networks', 'big data', 'graph construction', 'large number']",PSCEG: An unbiased Parallel Subspace Clustering algorithm using Exact Grids,"large datasets, large networks, big data, graph construction, large number | PSCEG: An unbiased Parallel Subspace Clustering algorithm using Exact Grids",Large-Scale Graph Analysis
33,"['clustering structure', 'clustering process', 'clustering method', 'hierarchical clustering', 'clustering results']",Hybrid Hierarchical Clustering: Cluster Assessment via Cluster Validation Indices,"clustering structure, clustering process, clustering method, hierarchical clustering, clustering results | Hybrid Hierarchical Clustering: Cluster Assessment via Cluster Validation Indices",Clustering Algorithms (Hierarchical & Others)
34,"['causal inference', 'causal structure', 'causal learning', 'causal decomposition', 'causal path']",A Novel Principle for Causal Inference in Data with Small Error Variance,"causal inference, causal structure, causal learning, causal decomposition, causal path | A Novel Principle for Causal Inference in Data with Small Error Variance",Causal Inference & Causal Learning
35,"['sparse lssvm', 'sparse squares', 'linear sparse', 'optimization problem', 'sparse minimal']",A robust regularization path for the Doubly Regularized Support Vector Machine,"sparse lssvm, sparse squares, linear sparse, optimization problem, sparse minimal | A robust regularization path for the Doubly Regularized Support Vector Machine",Sparse Linear Models / Optimization
36,"['feature selection', 'selection classification', 'multiple classifier', 'multi label', 'selection subset']",Do we need hundreds of classifiers or a good feature selection?,"feature selection, selection classification, multiple classifier, multi label, selection subset | Do we need hundreds of classifiers or a good feature selection?",Feature Selection & Multi-Label Classification
