Year,Title,Authors,Abstract,Keywords/Content Category,PDF link
2010,Distance functions for local PCA methods,"Alexander Kaiser, Wolfram Schenck, Ralf Moeller","The NGPCA method, a combination of the robust neural gas vector quantization method and a fast neural principal component analyzer, has proved to be a valuable tool for the generalized learning of high-dimensional data. At its core, the method uses a competitive ranking to adapt its units. The competition is guided by a specialized distance function -- known as the normalized Mahalanobis distance -- that assumes elliptic cluster shapes. Recently, an alternative distance function, the normalized Rayleigh quotient, has been suggested. This paper compares the performance of NGPCA on different distance functions. For the comparison a data set from a realistic robot arm experiment is used.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-19.pdf
2010,KNN behavior with set-valued attributes,"Mabel González Castellanos, Yanet Rodríguez Sarabia, Carlos Morell Pérez","This paper addresses the problem of treatment of set-valued attributes in the lazy learning context. This type of attribute is present in various domains, yet the instance-based learning tools don't provide a representation for them. To solve this problem, we present a proposal for the treatment of the sets in the context of k-NN algorithm through an extension to HEOM distance. Experiments using various data sets show the feasibility of this option.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-33.pdf
2010,Kernel generative topographic mapping,"Iván Olier, Alfredo Vellido, Jesús Giraldo","A kernel version of Generative Topographic Mapping, a model of the manifold learning family, is defined in this paper. Its ability to adequately model non-i.i.d. data is illustrated in a problem concerning the identification of protein subfamilies from protein sequences.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-44.pdf
2010,On Finding Complementary Clusterings,"Timo Pröscholdt, Michel Crucianu","In many cases, a dataset can be clustered following several criteria that complement each other: group membership following one criterion provides little or no information regarding group membership following the other criterion. When these criteria are not known a priori, they have to be determined from the data. We put forward one method for simultaneously finding the complementary criteria and the clustering corresponding to each criterion.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-86.pdf
2010,Consensus clustering by graph based approach,"Haytham Elghazel, Khalid Benabdeslem, Fatma Hamdi","In this paper, we propose G-Cons, an extension of a minimal graph coloring paradigm for consensus clustering. Based on the co-association values between data, our approach is a graph partitioning one yielding a combined partition by maximizing an objective function given by the average mutual information between the consensus partition and all initial clusterings. It exhibits more important consensus clustering features (quality and computational complexity) and enables to build a combined partition by improving the stability and accuracy of clustering solutions. The proposed approach is evaluated against benchmark databases and promising results are obtained compared to another consensus clustering techniques.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-92.pdf
2010,Web Document Clustering based on a Hierarchical Self-Organizing Model,"Esteban Palomo, Enrique Domínguez, Rafael Luque, José Muñoz","In this work, a hierarchical self-organizing model based on the GHSOM is presented in order to cluster web contents. The GHSOM is an artificial neural network that has been widely used for data clustering. The hierarchical architecture of the GHSOM is more flexible than a single SOM since it is adapted to input data, mirroring inherent hierarchical relations among them. The adaptation process of the GHSOM architecture is controlled by two parameters. However, these parameters have to be established in advance and this task is not always easy. In this paper, a one parameter hierarchical self-organizing model is proposed. This model has been evaluated by using the 'BankSearch' benchmark dataset. Experimental results show the good performance of this approach.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-89.pdf
2010,Online speaker diarization with a size-monitored growing neural gas algorithm,"Jean-Louis Gutzwiller, Hervé Frezza-Buet, Olivier Pietquin","This paper proposes a method for segmenting and clustering an audio flow on the basis of speaker turns. This process, also known as speaker diarization, is of major importance in multimedia indexation. Here, we propose to realize this process online and without any prior knowledge on the number of speakers. This is done thanks to a  statistical modelling of speakers based on a size-monitored growing neural gas algorithm.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-49.pdf
2010,Validation of unsupervised clustering methods for leaf phenotype screening,"Andreas Backhaus, Asuka Kuwabara, Andrew Fleming, Udo Seiffert","The assessment of visible differences in leaf shape between plant species or mutants (phenotyping) plays a significant role in plant research. This paper investigates the application of unsupervised data clustering techniques for phenotype screening to find hidden common shape categories. A set of two wildtypes and seven mutations of Arabidopsis acted as a test case. K-Means, NG, GNG, SOM and ART2a were evaluated by classical validity indices and one index derived from the task at hand. K-Means showed the best results and a low agreement between classical validity measures and task constraints was found.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-59.pdf
2010,A Novel Two-Phase SOM Clustering Approach to Discover Visitor Interests in a Website,"Ahmad Ammari, Valentina Zharkova","Mining content, structure and usage data in websites can uncover browsing patterns that different groups of Web visitors follow to access the subjects that are truly valuable to them. Many works in the literature focused on proposing new similarity measures to cluster Web logs and detect segments of browsing behaviors. However, this does not reveal which contents the visitors are interested in since a Web page may contain many different topics. In this paper, a novel two-phase clustering approach based on Self Organizing Maps (SOM) is proposed to address this problem. A systematic process to prepare Web content data for clustering is also described.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-132.pdf
2010,Image registration by the extended evolutionary self-organizing map,"Everardo Maia, Guilherme Barreto, André Coelho","The Evolutionary Self-Organizing Map (EvSOM) is a recently proposed robust algorithm for topographic map formation through evolutionary strategies [10, 11]. This work extends the EvSOM algorithm to deal with the Image Registration Problem and evaluate its performance when the relationship between the reference image (Ir) and the free image (If) can be approximate by an affine transformation. The aim of this work is then to use the neighborhood preservation property of topographic maps to improve the performance of traditional image registration algorithms. The results are compared with two other strategies: iterative closest point (ICP) based image registration and template matching (TM) based image registration. Experimental results using black-white retinal images indicate the feasibility of the proposed approach.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-128.pdf
2010,Programmable triangular neighborhood functions of Kohonen Self-Organizing Maps realized in CMOS technology,"Rafal Dlugosz, Marta Kolasa, Witold Pedrycz","The paper presents a programmable triangular neighborhood function for application in low power transistor level implemented Kohonen self-organized maps (SOMs). Detailed simulations carried out for the software model of such network show that the triangular function forms a good approximation of the Gaussian function, while being implemented in a much easier way in hardware. The proposed circuit is very flexible and allows for easy adjustments of the slope of the function. It enables the asynchronous and fully parallel operation of all neurons in the network thus making it very fast. The proposed mechanism can be used in custom designed networks either in their analog or digital implementation. Due to the simple structure, the energy consumption per a single input pattern is low (120 pJ in case of the map of 16 x 16 neurons).",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-48.pdf
2010,Evolution of adaptive center-crossing continuous time recurrent neural networks for biped robot control,"Ángel Campo, José Santos","We used simulated evolution to obtain continuous time recurrent neural networks to control the locomotion of simulated bipeds. We also used the definition of center-crossing networks, so that the recurrent networks nodes can reach their areas of maximum sensitivity of their activation functions. Moreover, we incorporated a run-time adaptation of the nodes' biases to obtain such condition. We tested the improvements and possibilities this adaptation adds, focusing in the use for biped robot control",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-84.pdf
2010,Free-energy-based reinforcement learning in a partially observable environment,"Makoto Otsuka, Junichiro Yoshimoto, Kenji Doya","Free-energy-based reinforcement learning (FERL) can handle Markov decision processes (MDPs) with high-dimensional state spaces by approximating the state-action value function with the negative equilibrium free energy of a restricted Boltzmann machine (RBM). In this study, we extend the FERL framework to handle partially observable MDPs (POMDPs) by incorporating a recurrent neural network that learns a memory representation sufficient for predicting future observations and rewards. We demonstrate that the proposed method successfully solves POMDPs with high-dimensional observations without any prior knowledge of the environmental hidden states and dynamics. After learning, task structures are implicitly represented in the distributed activation patterns of hidden nodes of the RBM.",Learning III,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-102.pdf
2010,Exploiting local structure in stacked Boltzmann machines,"Hannes Schulz, Andreas Müller, Sven Behnke","Restricted Boltzmann Machines (RBM) are well-studied generative models. For image data, however, RBMs are suboptimal, since they do not exploit the local nature of image statistics. We modify RBMs to focus on local structure by restricting visible-hidden interactions. Long-range interactions can then be modelled using direct or indirect lateral interaction between hidden variables.  While learning in our model is much faster, it retains generative and discriminative properties of RBMs.",Mixture and generative models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-126.pdf
2010,Extending reservoir computing with random static projections: a hybrid between extreme learning and RC,"John Butcher, David Verstraeten, Benjamin Schrauwen, Charles Day, Peter Haycock","Reservoir Computing is a relatively new paradigm in the field of neural networks that has shown promise in applications where traditional recurrent neural networks have performed poorly.  The main advantage of using reservoirs is that only the output weights are trained, reducing computational requirements significantly.  There is a trade-off, however, between the amount of memory a reservoir can possess and its capability of mapping data into a highly non-linear transformation space.  A new, hybrid architecture, combining a reservoir with an extreme learning machine, is presented which overcomes this trade-off, whose performance is demonstrated on a 4th order polynomial modelling task and an isolated spoken digit recognition task.",Machine learning techniques based on random projections,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-99.pdf
2010,Machine Learning Techniques based on Random Projections,"Yoan Miché, Benjamin Schrauwen, Amaury Lendasse","This paper presents a short introduction to the Reservoir Computing and Extreme Learning Machine main ideas and developments. While both methods make use of Neural Networks and Random Projections, the Reservoir Computing allows the network to have a recurrent structure, while the Extreme Learning Machine is a Feedforward neural network only. Some state of the art techniques are briefly presented and this special session papers are finally quickly described, in the terms of this introductory paper.",Machine learning techniques based on random projections,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-3.pdf
2010,Learning how to grasp objects,"Annalisa Barla, Luca Baldassarre, Nicoletta Noceti, Francesca Odone","This paper deals with the problem of estimating an appro-  priate hand posture to grasp an ob ject, from 2D ob ject’s visual cues in a  many-to-many (objects,grasp) con&#64257;guration. A statistical learning proto-  col implementing vector-valued regression is adopted for both classifying  the most likely grasp type and estimating the hand posture. An exten-  sive experimental evaluation on a publicly available dataset of visuo-motor  data reports very promising results and encourages further investigations.",Physiology and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-118.pdf
2010,Neural oscillations allow for selective inhibition - New perspective on the role of cortical gamma oscillations,Thomas Burwick,"A pattern recognition mechanism is proposed that uses inhibitory oscillations as fundamental ingredient. The mechanism realizes selective inhibition that could not be reached without oscillations. It uses couplings that are motivated by physiology. Since inhibitory oscillations are key to the generation of cortical gamma oscillation, the proposed mechanism may also shed new light on the gamma oscillation functionality.",Physiology and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-63.pdf
2010,Relational Generative Topographic Map,"Andrej Gisbrecht, Bassam Mokbel, Barbara Hammer","The generative topographic map (GTM) has been proposed as a statistical model to represent high dimensional data by means of a sparse lattice of points in latent space, such that visualization and data inspection become  possible. Original GTM is restricted to euclidean data points in a vector space.  Often, data are not explicitly embedded in a real vector space, rather pairwise dissimilarities of data can be computed, i.e.\ the relations between data points are given rather than the data vectors itself. We propose a method which extends the GTM to relational data and which allows to achieve a sparse representation of data characterized by pairwise dissimilarities in latent space. The method, relational GTM, is demonstrated on several benchmarks.",Sparse representation of data,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-94.pdf
2010,Learning vector quantization for heterogeneous structured data,"Dietlind Zühlke, Frank Michael Schleif, Tina Geweniger, Sven Haase, Thomas Villmann",In this paper we introduce an approach to integrate heterogeneous structured data into a learning vector quantization. The total distance between to heterogeneous structured samples is defined as a weighted sum of the distances in the single structural components. The weights are adapted in every iteration of learning using gradient descend on the cost function inspired by Generalized Learning Vector Quantization. The new method was tested on a real world data set for pollen recognition using image analysis.,Sparse representation of data,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-106.pdf
2010,Deep learning of visual control policies,"Sascha Lange, Martin Riedmiller","This paper discusses the effectiveness of deep auto-encoding neural nets in visual reinforcement learning (RL) tasks. We describe a new algorithm and  give results on succesfully learning policies directly on synthesized and real images without a predefined image processing. Furthermore, we present a thorough evaluation of  the learned feature spaces.",Sparse representation of data,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-87.pdf
2010,Geometric models with co-occurrence groups,"Joan Bruna Estrach, Stéphane Mallat",A geometric model of sparse signal representations is introduced for classes of signals. It is computed by optimizing co-occurrence groups with a maximum likelihood estimate calculated with a Bernoulli mixture model. Applications to face image compression and  MNIST digit classification illustrate the applicability of this model.,Sparse representation of data,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-43.pdf
2010,Directional predictions for 4-class BCI data,"Dieter Devlaminck, Willem Waegeman, Bruno Bauwens, Bart Wyns, Georges Otte, Luc Boullart, Patrick Santens","Brain-computer interfaces (BCI) can allow disabled people to drive a wheel chair, just by imagining movement. Therefore, present day BCIs use training data, recorded during four different conditions, to calibrate a classifier. This, however, causes jerky behavior while abruptly switching between discrete states. We propose a cost-sensitive support vector approach for estimating two-dimensional directions based on four-class BCI data, that is recorded from three subjects.  We found that our method reduces the number of severe errors compared to classical support vector machines and results in a smoother trajectory estimate for application in a wheel chair.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-82.pdf
2010,Autoregressive independent process analysis with missing observations,Szabó Zoltán,"The goal of this paper is to search for independent multidimensional processes subject to missing and mixed observations. The corresponding cocktail-party problem has a number of successful applications, however, the case of missing observations has been worked out only for the simplest Independent Component Analysis (ICA) task, where the hidden processes (i) are one-dimensional, and (ii) signal generation in time is independent and identically distributed (i.i.d.). Here, the missing observation situation is extended to processes with (i) autoregressive (AR) dynamics and (ii) multidimensional driving sources. Performance of the solution method is illustrated by numerical examples.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-52.pdf
2010,Combining back-propagation and genetic algorithms to train neural networks for start-up time modeling in combined cycle power plants,"Ilaria Bertini, Matteo De Felice, Stefano Pizzuti","This paper presents a neural networks based approach in order to estimate the start-up time of turbine based power plants. Neural networks are trained with a hybrid approach, indeed we combine the Back-propagation (BP) algorithm and the Simple Genetic Algorithm (GA) in order to effectively train neural networks in such a way that the BP algorithm initializes a few individuals of the GA's population. Experiments have been performed over a big amount of data and results have shown a remarkable improvement in accuracy compared to the single traditional methods",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-55.pdf
2010,A pseudoregression formulation of emphasized soft target procedures for classification problems,"Soufiane El Jelali, Abdelouahid Lyhyaoui, Anibal R. Figueiras-Vidal","Replacing a hard decision by a soft targets version including an attentional mechanism provides performance advantage and flexibility to solve classification tasks. In this paper, we modify the standard emphasized soft target method by proposing two new ideas, to avoid unnecessary updating and inappropiate definition of soft targets, in order to increase designs performance. Experimental results using MLPs show the effectiveness of this approach compared with the standard ST and other methods.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-60.pdf
2010,Exploiting hierarchical prediction structures for mixed 2d-3d tracking,"Chen Zhang, Julian Eggert","In this paper, we present a generic way to use a hierarchical representation of prediction models for adaptive tracking. Starting with a basic appearance-based tracker working in 2D retinal space, we show how to combine individual trackers for the left and right eye to a true 3D tracker that is built on top of the 2D trackers. We show how the trackers benefit from the hierarchical structure by dynamical model switching depending on the reliability of the tracking results.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-79.pdf
2010,Hybrid Soft Computing for PVT Properties Prediction,"Ghouti Lahouari, Saeed Al-Bukhitan","Pressure-Volume-Temperature (PVT) properties are very important in the reservoir engineering computations. There are many approaches for predicting various PVT properties based on empirical correlations and statistical regression models. Last decade, researchers utilized neural networks to develop more accurate PVT correlations. These achievements of neural networks open the door to data mining techniques to play a major role in oil and gas industry. Unfortunately, the developed neural networks correlations are often limited and global correlations are usually less accurate compared to local correlations. Recently, adaptive neuro-fuzzy inference systems have been proposed as a new intelligence framework for both prediction and classification based on fuzzy clustering optimization criterion and ranking. In this paper, a genetic-neuro-fuzzy inference system is proposed for estimating PVT properties of crude oil systems.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-96.pdf
2010,Approximation of chemical reaction rates in turbulent combustion simulation,"Lars Große, Franz Joos","It is essential to increase the efficiency of the commercially available combustion engines because of the limitations in fossil energy resources and environmental pollution Also the emission standards are a challenging aspect. If one succeeds in designing the combustion process, in particular the chemical reactions, it would be feasible to partly replace complex experiments by computer simulations. The suggestion made in this paper, is the use of artificial neuronal networks for approximation of complex chemistry in turbulent combustion applications. The use of complex chemistry is computationally expensive and limited to simple geometry, therefore it is replaced by trained ANNs.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-58.pdf
2010,Efficient online learning of a non-negative sparse autoencoder,"Andre Lemme, Felix Reinhart, Jochen Steil",We introduce an efficient online learning mechanism for non-negative sparse coding in autoencoder neural networks.In this paper we compare the novel method to the batch algorithm non-negative matrix factorization with and without sparseness constraint.We show that the efficient autoencoder yields to better sparseness and lower reconstruction errors than the batch algorithms on the MNIST benchmark dataset.,Supervised and recurrent models,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-73.pdf
2010,Model Learning from Weights by Adaptive Enhanced Probabilistic Convergent Network,"Pierre Lorrentz, Gareth Howells, Klaus McDonald-Maier","Current weightless classifiers require historical data to model a system and make prediction about a system successfully. Historical data either is not always available or does not take a recent system modification into consideration. For this reason an adaptive filter is designed, which when employed with a weightless classifier enables system model, difficult to characterise system model, and system output prediction, successfully.         Results of experiments performed show that the fusion of an adaptive filter and a weightless classifier is more beneficial than the filter or the classifier utilised singly, and that no speed advantage is observed.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-65.pdf
2010,An augmented efficient backpropagation training strategy for deep autoassociative neural networks,"Mark Embrechts, Blake Hargis, Jonathan Linton",The purpose of this paper is to introduce an effective training strategy of the backpropagation algorithm for deep autoencoders without relying on a weight initialization with restricted Boltzmann machines.  This strategy is an extension of Efficient BackProp first proposed by LeCun et al. and will be benchmarked on three different types of application data sets.,Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-122.pdf
2010,Least 1-Norm SVMs: a new SVM variant between standard and LS-SVMs,"Jorge López, José R. Dorronsoro","Least Squares Support Vector Machines (LS-SVMs) were proposed by replacing the inequality constraints inherent to L1-SVMs with equality constraints. So far this idea has only been suggested for a least squares (L2) loss. We describe how this can also be done for the sum-of-slacks (L1) loss, yielding a new classifier (Least 1-Norm SVMs) which gives similar models in terms of complexity and accuracy and that may also be more robust than LS-SVMs with respect to outliers.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-115.pdf
2010,Fast and good initialization of RBF networks,"Dietmar Bauer, Jonas Sjoberg",In this paper a new method for fast initialization of radial basis function (RBF) networks is proposed. A grid of possible positions and widths for the basis functions is defined and new nodes to the RBF network are introduced one at the time. The definition of the grid points is done in a specific way which leads to algorithms which are computationally inexpensive due to  fact that intermediate results  can be reused  and do not need to be re-computed. If the grid is dense one obtains  estimators close to  estimators resulting from  an exhaustive search for the initial parameters which leads to a lower risk to be caught in local minima in the minimization which follows. The usefulness of the approach is demonstrated in a simulation example.,Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-64.pdf
2010,Time series input selection using multiple kernel learning,"Loris Foresti, Devis Tuia, Vadim Timonin, Mikhaïl Kanevski","In this paper we study the relevance of multiple kernel learning (MKL) for the automatic selection of time series inputs. Recently, MKL has gained great attention in the machine learning community due to its flexibility in modelling complex patterns and performing feature selection. In general, MKL constructs the kernel as a weighted linear combination of basis kernels, exploiting different sources of information. An efficient algorithm wrapping a Support Vector Regression model for optimizing the MKL weights, named SimpleMKL, is used for the analysis. In this sense, MKL performs feature selection by discarding inputs/kernels with low or null weights. The approach proposed is tested with simulated linear and nonlinear time series (AutoRegressive, Henon and Lorenz series).",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-28.pdf
2010,Active set training of support vector regressors,Shigeo Abe,"In our previous work we have discussed the training method of a support vector classifier by active set training allowing the solution to be infeasible during training. In this paper, we extend this method to training a support vector regressor (SVR). We use the dual form of the SVR where variables take real values and in the objective function the weighted linear sum of absolute values of the variables is included. We allow the variables to change signs from one step to the next. This means changes of the active inequality constraints.  Namely, we solve the quadratic programming problem for the initial working set of training data by Newton's method, delete from the working set the data within the epsilon tube, add to the working set training data outside of the epsilon tube, and repeat training the SVM until the working set does not change. We demonstrate the effectiveness of the proposed method using some benchmark data sets.",Learning I,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-13.pdf
2010,Mapping without visualizing local default is nonsense,"Sylvain Lespinats, Michaël Aupetit","High-dimensional dataset are often Embedded in two-dimensional spaces so as to visualize neighborhood relationships. When the map is effective (i.e. when short distances are preserved) it is a powerful mean to understand the dataset. But, mappings most often show defaults and the user is then led astray. Following this line, a mapping should not be considered when its overall quality is not good enough. Many imperfect mappings can however be exploited by informing the user of nature and level of defaults. In this work, we propose to visualize local indices trustworthiness and continuity in that purpose.","Information Visualization, Nonlinear Dimensionality Reduction, Manifold and Topological Learning",https://www.esann.org/sites/default/files/proceedings/legacy/es2010-54.pdf
2010,Modelling the McGurk effect,"Ioana Sporea, Andre Gruning","The current study investigates the McGurk effect by modelling it with neural networks. The simulations are designed to test the two main theories about the moment at which the auditory-visual integration happens. To further analyze the causes behind the McGurk illusion, the neural network that best models the effect is used to simulate the influence of language and the frequency of phonemes on auditory-visual speech perception, using two phonetic distribution from English and Japanese, with different empirical results in the McGurk effect.",Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-61.pdf
2010,Predicting spike-timing of a thalamic neuron using a stochastic synaptic model,"Karim El-Laithy, Martin Bogdan","A twofold spike-timing dependent stochastic synaptic model is used along with a leaky Integrate-and-Fire neuronal model to predict the spike timing of a single post-synaptic neuron in the lateral geniculate nucleus, knowing the spike train on the pre-synaptic side (i.e. in a retinal ganglion cell). In this synaptic model, spike-timing dependency is introduced for both the magnitude and relaxation of the dynamics representing the synaptic action. The results show that the used model is able to reliably predict the exact timing of spikes. These results and the model are the winner of a recent international competition.",Learning II,https://www.esann.org/sites/default/files/proceedings/legacy/es2010-14.pdf
